giocatore;partite;presenze;titolare;sub_out;sub_in;minuti giocati;ammonizioni;espulsioni;goal;non convocazione;minuti_p;presenze_p;rapporto
ALESSANDRO BARONE;10;8;8;0;0;740;1;0;2;1;82,22;10,000,00;80.0
LORENZO CATERINOZZI;10;9;6;5;0;607;0;0;0;0;67,44;10,000,00;90.0
SIMONE DOMENICI;10;10;9;4;0;822;2;0;0;0;91,33;10,000,00;100.0
GIUSEPPE D'IGNAZIO;10;10;10;0;0;920;2;0;0;0;102,22;10,000,00;100.0
LORENZO FORTUNATO;10;10;9;3;0;842;4;0;0;0;93,56;10,000,00;100.0
DANIELE BARILARO;10;6;6;0;0;483;0;1;0;1;53,67;10,000,00;60.0
GIGI MICCICHE';10;10;9;5;0;831;1;0;2;0;92,33;10,000,00;100.0
FEDERICO TEMPESTILLI;10;10;9;6;0;729;3;0;0;0;81,00;10,000,00;100.0
ANDREA RUSSO;10;10;10;2;0;907;1;0;8;0;100,78;10,000,00;100.0
MANUEL GUIDARELLI;10;8;1;8;0;284;2;0;0;0;31,56;10,000,00;80.0
ANGELO BELFIORI;10;6;1;6;0;183;1;0;0;4;20,33;10,000,00;60.0
KAJLJ BARBARA;10;2;2;0;0;180;0;0;0;0;20,00;10,000,00;20.0
LUCA DI CARLO;10;1;0;1;0;7;0;0;0;6;0,78;10,000,00;10.0
STEFANO PICCONI;10;7;6;5;0;507;0;0;0;2;56,33;10,000,00;70.0
VALERIO PERINI;10;1;1;1;0;50;0;0;0;6;5,56;10,000,00;10.0
FEDERICO BROCATO;10;3;1;3;0;79;1;0;0;5;8,78;10,000,00;30.0
FLAVIO COSTANTINI;10;6;3;6;0;244;3;0;0;4;27,11;10,000,00;60.0
PAOLO D'ALESSANDRO;10;10;7;10;0;500;2;0;1;0;55,56;10,000,00;100.0
JORDI DE LUCA;10;6;1;6;0;208;0;0;1;1;23,11;10,000,00;60.0
RICCARDO GIANSERRA;10;0;0;0;0;0;0;0;0;5;0,00;nan;0.0
ANDREA ABRUZZETTI;10;3;2;3;0;175;1;0;0;7;19,44;10,000,00;30.0
LORENZO BECCHETTI;10;7;7;7;0;462;4;0;0;3;51,33;10,000,00;70.0
GIORGIO BIANCONI;10;0;0;0;0;0;0;0;0;9;0,00;nan;0.0
MATTEO BORGIA;10;0;0;0;0;0;0;0;0;10;0,00;nan;0.0
EDOARDO BRACCI;10;0;0;0;0;0;0;0;0;5;0,00;nan;0.0
EDOARDO CICCANTI;10;0;0;0;0;0;0;0;0;8;0,00;nan;0.0
LUCA COLAGROSSI;10;0;0;0;0;0;0;0;0;10;0,00;nan;0.0
EMANUELE COMMODOARI;10;5;2;4;0;223;0;0;0;1;24,78;10,000,00;50.0
ALESSIO CRISPOLDI;10;6;0;6;0;109;0;0;0;4;12,11;10,000,00;60.0
ANGELO FEDELE;10;3;0;3;0;46;0;0;0;7;5,11;10,000,00;30.0
FILIPPO NESTONNI;10;0;0;0;0;0;0;0;0;10;0,00;nan;0.0
DAVIDE OLEARI;10;0;0;0;0;0;0;0;0;10;0,00;nan;0.0
DIEGO LUCIANI;10;0;0;0;0;0;0;0;0;10;0,00;nan;0.0
MANUEL GIORDANO;10;0;0;0;0;0;0;0;0;6;0,00;nan;0.0
EMANUELE COMMODARI;10;0;0;0;0;0;0;0;0;3;0,00;nan;0.0
;10;0;0;0;0;0;0;0;0;0;0,00;nan;0.0
